120 5 10000
105 sberbank-14 97.8 9
105 sberbank-14 103.91 6
105 rosneft-22 107.16 3
106 gazprom-17 106.45 8
106 beta-07 95.61 8
106 gazprom-17 95.66 4
106 sberbank-14 101.19 3
106 sberbank-14 91.33 3
107 gazprom-17 101.6 8
107 sberbank-14 109.56 4
107 gazprom-17 99.95 1
107 beta-07 93.48 6
108 sberbank-14 106.28 5
108 rosneft-22 99.21 3
109 gazprom-17 93.82 7
110 rosneft-22 103.92 5
110 sberbank-14 99.51 5
111 sberbank-14 97.67 4
111 rosneft-22 96.01 10
111 sberbank-14 96.94 5
111 rosneft-22 97.22 10
111 sberbank-14 95.66 8
112 sberbank-14 92.77 5
113 beta-07 107.35 8
114 beta-07 105.62 9
114 beta-07 109.13 1
114 alfa-05 97.06 3
115 beta-07 97.35 10
115 sberbank-14 93.71 1
115 sberbank-14 101.37 8
115 rosneft-22 100.28 2
115 gazprom-17 107.96 3
116 sberbank-14 90.67 7
116 gazprom-17 109.35 1
116 gazprom-17 105.6 2
116 gazprom-17 95.61 5
116 alfa-05 102.24 4
117 sberbank-14 97.52 8
117 sberbank-14 108.33 5
117 sberbank-14 98.04 7
117 rosneft-22 90.39 7
118 alfa-05 99.33 5
118 beta-07 99.23 7
118 alfa-05 98.55 9
118 sberbank-14 99.06 3
119 sberbank-14 93.9 4
119 sberbank-14 104.04 8
120 beta-07 97.78 7
120 rosneft-22 98.86 10
120 alfa-05 107.6 9
